date,open,high,low,close,volume,bar_count,wap,has_gaps
20100128  10:00:00,20192.0,20232.0,20192.0,20207.0,0,87,0.0,0
20100128  10:00:30,20205.0,20221.0,20204.0,20211.0,0,41,0.0,0
20100128  10:01:00,20209.0,20215.0,20197.0,20202.0,0,51,0.0,0
20100128  10:01:30,20200.0,20214.0,20200.0,20205.0,0,33,0.0,0
20100128  10:02:00,20206.0,20214.0,20185.0,20187.0,0,48,0.0,0
20100128  10:02:30,20189.0,20189.0,20166.0,20170.0,0,41,0.0,0
20100128  10:03:00,20172.0,20185.0,20170.0,20182.0,0,26,0.0,0
20100128  10:03:30,20180.0,20200.0,20180.0,20196.0,0,23,0.0,0
20100128  10:04:00,20195.0,20203.0,20191.0,20200.0,0,30,0.0,0
20100128  10:04:30,20203.0,20223.0,20201.0,20215.0,0,49,0.0,0
20100128  10:05:00,20216.0,20224.0,20203.0,20206.0,0,60,0.0,0
20100128  10:05:30,20209.0,20215.0,20195.0,20203.0,0,34,0.0,0
20100128  10:06:00,20206.0,20207.0,20183.0,20185.0,0,35,0.0,0
20100128  10:06:30,20187.0,20190.0,20174.0,20181.0,0,43,0.0,0
20100128  10:07:00,20179.0,20185.0,20177.0,20181.0,0,18,0.0,0
20100128  10:07:30,20183.0,20193.0,20182.0,20190.0,0,15,0.0,0
20100128  10:08:00,20193.0,20193.0,20179.0,20187.0,0,33,0.0,0
20100128  10:08:30,20185.0,20189.0,20179.0,20185.0,0,26,0.0,0
20100128  10:09:00,20188.0,20192.0,20179.0,20187.0,0,29,0.0,0
20100128  10:09:30,20189.0,20204.0,20189.0,20197.0,0,37,0.0,0
20100128  10:10:00,20195.0,20230.0,20187.0,20230.0,0,55,0.0,0
20100128  10:10:30,20228.0,20245.0,20227.0,20245.0,0,23,0.0,0
20100128  10:11:00,20247.0,20249.0,20230.0,20232.0,0,24,0.0,0
20100128  10:11:30,20234.0,20234.0,20224.0,20230.0,0,27,0.0,0
20100128  10:12:00,20227.0,20235.0,20224.0,20231.0,0,30,0.0,0
20100128  10:12:30,20233.0,20243.0,20232.0,20237.0,0,25,0.0,0
20100128  10:13:00,20239.0,20254.0,20234.0,20244.0,0,39,0.0,0
20100128  10:13:30,20247.0,20254.0,20244.0,20247.0,0,29,0.0,0
20100128  10:14:00,20250.0,20255.0,20241.0,20241.0,0,24,0.0,0
20100128  10:14:30,20238.0,20238.0,20217.0,20217.0,0,35,0.0,0
20100128  10:15:00,20219.0,20240.0,20219.0,20237.0,0,26,0.0,0
20100128  10:15:30,20234.0,20257.0,20234.0,20254.0,0,23,0.0,0
20100128  10:16:00,20257.0,20269.0,20255.0,20268.0,0,20,0.0,0
20100128  10:16:30,20266.0,20266.0,20251.0,20257.0,0,26,0.0,0
20100128  10:17:00,20258.0,20262.0,20252.0,20252.0,0,30,0.0,0
20100128  10:17:30,20250.0,20250.0,20228.0,20228.0,0,26,0.0,0
20100128  10:18:00,20225.0,20228.0,20219.0,20225.0,0,22,0.0,0
20100128  10:18:30,20222.0,20231.0,20217.0,20226.0,0,21,0.0,0
20100128  10:19:00,20230.0,20237.0,20224.0,20237.0,0,19,0.0,0
20100128  10:19:30,20239.0,20250.0,20236.0,20239.0,0,46,0.0,0
20100128  10:20:00,20243.0,20257.0,20243.0,20256.0,0,23,0.0,0
20100128  10:20:30,20258.0,20261.0,20254.0,20258.0,0,16,0.0,0
20100128  10:21:00,20255.0,20257.0,20249.0,20257.0,0,25,0.0,0
20100128  10:21:30,20254.0,20263.0,20254.0,20259.0,0,13,0.0,0
20100128  10:22:00,20256.0,20264.0,20253.0,20263.0,0,26,0.0,0
20100128  10:22:30,20265.0,20266.0,20256.0,20266.0,0,20,0.0,0
20100128  10:23:00,20264.0,20268.0,20260.0,20265.0,0,19,0.0,0
20100128  10:23:30,20262.0,20270.0,20261.0,20266.0,0,19,0.0,0
20100128  10:24:00,20268.0,20284.0,20268.0,20283.0,0,24,0.0,0
20100128  10:24:30,20285.0,20300.0,20280.0,20281.0,0,41,0.0,0
20100128  10:25:00,20284.0,20303.0,20284.0,20300.0,0,23,0.0,0
20100128  10:25:30,20302.0,20312.0,20302.0,20307.0,0,21,0.0,0
20100128  10:26:00,20309.0,20314.0,20305.0,20310.0,0,14,0.0,0
20100128  10:26:30,20307.0,20322.0,20307.0,20322.0,0,21,0.0,0
20100128  10:27:00,20319.0,20332.0,20319.0,20330.0,0,35,0.0,0
20100128  10:27:30,20332.0,20332.0,20321.0,20330.0,0,25,0.0,0
20100128  10:28:00,20332.0,20335.0,20318.0,20320.0,0,36,0.0,0
20100128  10:28:30,20318.0,20318.0,20311.0,20317.0,0,22,0.0,0
20100128  10:29:00,20319.0,20324.0,20314.0,20323.0,0,23,0.0,0
20100128  10:29:30,20320.0,20332.0,20316.0,20332.0,0,27,0.0,0
20100128  10:30:00,20330.0,20330.0,20308.0,20319.0,0,33,0.0,0
20100128  10:30:30,20321.0,20326.0,20316.0,20321.0,0,27,0.0,0
20100128  10:31:00,20323.0,20327.0,20315.0,20315.0,0,27,0.0,0
20100128  10:31:30,20313.0,20317.0,20301.0,20306.0,0,24,0.0,0
20100128  10:32:00,20304.0,20310.0,20302.0,20302.0,0,14,0.0,0
20100128  10:32:30,20306.0,20309.0,20299.0,20303.0,0,23,0.0,0
20100128  10:33:00,20300.0,20306.0,20296.0,20303.0,0,18,0.0,0
20100128  10:33:30,20301.0,20310.0,20299.0,20302.0,0,27,0.0,0
20100128  10:34:00,20305.0,20317.0,20301.0,20317.0,0,26,0.0,0
20100128  10:34:30,20315.0,20338.0,20309.0,20338.0,0,37,0.0,0
20100128  10:35:00,20335.0,20335.0,20311.0,20313.0,0,25,0.0,0
20100128  10:35:30,20317.0,20320.0,20307.0,20307.0,0,31,0.0,0
20100128  10:36:00,20305.0,20305.0,20291.0,20293.0,0,18,0.0,0
20100128  10:36:30,20297.0,20302.0,20289.0,20296.0,0,15,0.0,0
20100128  10:37:00,20294.0,20295.0,20283.0,20290.0,0,17,0.0,0
20100128  10:37:30,20291.0,20298.0,20288.0,20291.0,0,17,0.0,0
20100128  10:38:00,20293.0,20296.0,20289.0,20296.0,0,15,0.0,0
20100128  10:38:30,20295.0,20300.0,20288.0,20300.0,0,25,0.0,0
20100128  10:39:00,20297.0,20298.0,20291.0,20293.0,0,16,0.0,0
20100128  10:39:30,20290.0,20299.0,20285.0,20299.0,0,27,0.0,0
20100128  10:40:00,20297.0,20317.0,20293.0,20317.0,0,36,0.0,0
20100128  10:40:30,20313.0,20317.0,20306.0,20314.0,0,23,0.0,0
20100128  10:41:00,20311.0,20320.0,20309.0,20315.0,0,15,0.0,0
20100128  10:41:30,20316.0,20316.0,20301.0,20305.0,0,29,0.0,0
20100128  10:42:00,20302.0,20310.0,20302.0,20306.0,0,12,0.0,0
20100128  10:42:30,20308.0,20317.0,20308.0,20317.0,0,14,0.0,0
20100128  10:43:00,20315.0,20316.0,20307.0,20312.0,0,14,0.0,0
20100128  10:43:30,20313.0,20320.0,20308.0,20319.0,0,15,0.0,0
20100128  10:44:00,20321.0,20327.0,20314.0,20325.0,0,24,0.0,0
20100128  10:44:30,20327.0,20361.0,20326.0,20361.0,0,36,0.0,0
20100128  10:45:00,20358.0,20364.0,20335.0,20360.0,0,36,0.0,0
20100128  10:45:30,20357.0,20361.0,20349.0,20358.0,0,24,0.0,0
20100128  10:46:00,20357.0,20361.0,20352.0,20359.0,0,16,0.0,0
20100128  10:46:30,20362.0,20367.0,20353.0,20365.0,0,25,0.0,0
20100128  10:47:00,20362.0,20365.0,20352.0,20354.0,0,20,0.0,0
20100128  10:47:30,20357.0,20368.0,20352.0,20365.0,0,19,0.0,0
20100128  10:48:00,20367.0,20380.0,20364.0,20377.0,0,22,0.0,0
20100128  10:48:30,20379.0,20382.0,20376.0,20380.0,0,15,0.0,0
20100128  10:49:00,20378.0,20381.0,20373.0,20381.0,0,24,0.0,0
20100128  10:49:30,20379.0,20392.0,20374.0,20392.0,0,27,0.0,0
20100128  10:50:00,20390.0,20392.0,20376.0,20384.0,0,30,0.0,0
20100128  10:50:30,20382.0,20391.0,20380.0,20387.0,0,20,0.0,0
20100128  10:51:00,20383.0,20393.0,20383.0,20391.0,0,31,0.0,0
20100128  10:51:30,20393.0,20398.0,20389.0,20392.0,0,15,0.0,0
20100128  10:52:00,20394.0,20395.0,20389.0,20393.0,0,20,0.0,0
20100128  10:52:30,20391.0,20391.0,20373.0,20375.0,0,19,0.0,0
20100128  10:53:00,20372.0,20372.0,20361.0,20364.0,0,18,0.0,0
20100128  10:53:30,20362.0,20363.0,20348.0,20350.0,0,16,0.0,0
20100128  10:54:00,20354.0,20356.0,20345.0,20355.0,0,14,0.0,0
20100128  10:54:30,20358.0,20369.0,20351.0,20363.0,0,25,0.0,0
20100128  10:55:00,20361.0,20367.0,20348.0,20350.0,0,28,0.0,0
20100128  10:55:30,20354.0,20357.0,20347.0,20348.0,0,14,0.0,0
20100128  10:56:00,20349.0,20350.0,20342.0,20350.0,0,9,0.0,0
20100128  10:56:30,20347.0,20357.0,20347.0,20349.0,0,15,0.0,0
20100128  10:57:00,20351.0,20353.0,20347.0,20352.0,0,14,0.0,0
20100128  10:57:30,20350.0,20357.0,20350.0,20356.0,0,14,0.0,0
20100128  10:58:00,20359.0,20361.0,20354.0,20354.0,0,21,0.0,0
20100128  10:58:30,20352.0,20356.0,20349.0,20351.0,0,7,0.0,0
20100128  10:59:00,20347.0,20358.0,20345.0,20356.0,0,16,0.0,0
20100128  10:59:30,20353.0,20357.0,20338.0,20346.0,0,26,0.0,0
20100128  11:00:00,20348.0,20359.0,20346.0,20348.0,0,33,0.0,0
20100128  11:00:30,20345.0,20349.0,20341.0,20344.0,0,21,0.0,0
20100128  11:01:00,20346.0,20348.0,20337.0,20343.0,0,14,0.0,0
20100128  11:01:30,20340.0,20343.0,20331.0,20332.0,0,20,0.0,0
20100128  11:02:00,20335.0,20335.0,20329.0,20334.0,0,18,0.0,0
20100128  11:02:30,20336.0,20339.0,20328.0,20329.0,0,17,0.0,0
20100128  11:03:00,20333.0,20337.0,20328.0,20334.0,0,13,0.0,0
20100128  11:03:30,20337.0,20341.0,20330.0,20336.0,0,20,0.0,0
20100128  11:04:00,20332.0,20342.0,20332.0,20339.0,0,16,0.0,0
20100128  11:04:30,20336.0,20349.0,20325.0,20349.0,0,42,0.0,0
20100128  11:05:00,20346.0,20348.0,20336.0,20339.0,0,30,0.0,0
20100128  11:05:30,20337.0,20343.0,20336.0,20339.0,0,15,0.0,0
20100128  11:06:00,20336.0,20345.0,20333.0,20343.0,0,17,0.0,0
20100128  11:06:30,20341.0,20347.0,20340.0,20342.0,0,14,0.0,0
20100128  11:07:00,20344.0,20348.0,20339.0,20348.0,0,17,0.0,0
20100128  11:07:30,20350.0,20365.0,20349.0,20361.0,0,23,0.0,0
20100128  11:08:00,20363.0,20376.0,20363.0,20370.0,0,15,0.0,0
20100128  11:08:30,20369.0,20379.0,20366.0,20376.0,0,19,0.0,0
20100128  11:09:00,20374.0,20383.0,20374.0,20379.0,0,22,0.0,0
20100128  11:09:30,20376.0,20394.0,20371.0,20390.0,0,30,0.0,0
20100128  11:10:00,20388.0,20394.0,20371.0,20388.0,0,33,0.0,0
20100128  11:10:30,20386.0,20391.0,20384.0,20388.0,0,15,0.0,0
