date,open,high,low,close,volume,bar_count,wap,has_gaps
20100415  10:00:00,12934.0,12956.0,12929.0,12952.0,0,113,0.0,0
20100415  10:00:30,12955.0,12957.0,12946.0,12948.0,0,42,0.0,0
20100415  10:01:00,12950.0,12958.0,12949.0,12954.0,0,50,0.0,0
20100415  10:01:30,12956.0,12963.0,12953.0,12958.0,0,60,0.0,0
20100415  10:02:00,12957.0,12959.0,12950.0,12955.0,0,31,0.0,0
20100415  10:02:30,12953.0,12957.0,12947.0,12949.0,0,27,0.0,0
20100415  10:03:00,12951.0,12951.0,12939.0,12939.0,0,35,0.0,0
20100415  10:03:30,12940.0,12942.0,12924.0,12924.0,0,37,0.0,0
20100415  10:04:00,12922.0,12928.0,12920.0,12921.0,0,38,0.0,0
20100415  10:04:30,12923.0,12923.0,12914.0,12915.0,0,33,0.0,0
20100415  10:05:00,12917.0,12925.0,12911.0,12925.0,0,31,0.0,0
20100415  10:05:30,12923.0,12937.0,12921.0,12934.0,0,24,0.0,0
20100415  10:06:00,12936.0,12942.0,12933.0,12942.0,0,28,0.0,0
20100415  10:06:30,12941.0,12946.0,12937.0,12945.0,0,35,0.0,0
20100415  10:07:00,12942.0,12947.0,12939.0,12942.0,0,39,0.0,0
20100415  10:07:30,12940.0,12947.0,12938.0,12944.0,0,22,0.0,0
20100415  10:08:00,12946.0,12957.0,12943.0,12957.0,0,37,0.0,0
20100415  10:08:30,12958.0,12958.0,12950.0,12952.0,0,18,0.0,0
20100415  10:09:00,12955.0,12960.0,12952.0,12957.0,0,22,0.0,0
20100415  10:09:30,12960.0,12967.0,12957.0,12963.0,0,28,0.0,0
20100415  10:10:00,12965.0,12979.0,12963.0,12977.0,0,30,0.0,0
20100415  10:10:30,12979.0,12993.0,12978.0,12990.0,0,34,0.0,0
20100415  10:11:00,12992.0,12997.0,12989.0,12994.0,0,22,0.0,0
20100415  10:11:30,12992.0,12996.0,12987.0,12994.0,0,24,0.0,0
20100415  10:12:00,12996.0,12996.0,12992.0,12994.0,0,12,0.0,0
20100415  10:12:30,12996.0,13000.0,12993.0,12997.0,0,31,0.0,0
20100415  10:13:00,12996.0,13002.0,12996.0,12997.0,0,26,0.0,0
20100415  10:13:30,13000.0,13002.0,12995.0,12997.0,0,11,0.0,0
20100415  10:14:00,12995.0,12995.0,12989.0,12992.0,0,17,0.0,0
20100415  10:14:30,12990.0,12993.0,12984.0,12984.0,0,20,0.0,0
20100415  10:15:00,12982.0,12989.0,12982.0,12986.0,0,21,0.0,0
20100415  10:15:30,12985.0,12988.0,12980.0,12986.0,0,25,0.0,0
20100415  10:16:00,12988.0,12993.0,12987.0,12993.0,0,21,0.0,0
20100415  10:16:30,12991.0,12994.0,12986.0,12994.0,0,28,0.0,0
20100415  10:17:00,12992.0,13000.0,12992.0,12994.0,0,18,0.0,0
20100415  10:17:30,12996.0,13000.0,12993.0,12996.0,0,26,0.0,0
20100415  10:18:00,12994.0,13002.0,12994.0,12997.0,0,20,0.0,0
20100415  10:18:30,12994.0,13000.0,12992.0,13000.0,0,26,0.0,0
20100415  10:19:00,12998.0,13000.0,12994.0,12996.0,0,19,0.0,0
20100415  10:19:30,12998.0,12998.0,12989.0,12991.0,0,28,0.0,0
