date,open,high,low,close,volume,bar_count,wap,has_gaps
20100125  10:00:00,20445.0,20448.0,20417.0,20446.0,0,100,0.0,0
20100125  10:00:30,20444.0,20451.0,20433.0,20438.0,0,59,0.0,0
20100125  10:01:00,20436.0,20454.0,20429.0,20449.0,0,80,0.0,0
20100125  10:01:30,20446.0,20454.0,20442.0,20449.0,0,48,0.0,0
20100125  10:02:00,20447.0,20450.0,20436.0,20439.0,0,33,0.0,0
20100125  10:02:30,20437.0,20448.0,20434.0,20436.0,0,36,0.0,0
20100125  10:03:00,20438.0,20440.0,20426.0,20428.0,0,35,0.0,0
20100125  10:03:30,20432.0,20441.0,20430.0,20436.0,0,31,0.0,0
20100125  10:04:00,20439.0,20463.0,20430.0,20459.0,0,46,0.0,0
20100125  10:04:30,20461.0,20466.0,20456.0,20464.0,0,34,0.0,0
20100125  10:05:00,20466.0,20479.0,20461.0,20475.0,0,36,0.0,0
20100125  10:05:30,20477.0,20478.0,20461.0,20465.0,0,30,0.0,0
20100125  10:06:00,20462.0,20469.0,20459.0,20466.0,0,26,0.0,0
20100125  10:06:30,20468.0,20472.0,20461.0,20470.0,0,23,0.0,0
20100125  10:07:00,20468.0,20477.0,20468.0,20470.0,0,35,0.0,0
20100125  10:07:30,20472.0,20481.0,20472.0,20481.0,0,22,0.0,0
20100125  10:08:00,20479.0,20479.0,20440.0,20440.0,0,37,0.0,0
20100125  10:08:30,20438.0,20438.0,20419.0,20430.0,0,44,0.0,0
20100125  10:09:00,20426.0,20430.0,20419.0,20426.0,0,32,0.0,0
20100125  10:09:30,20428.0,20434.0,20419.0,20434.0,0,21,0.0,0
20100125  10:10:00,20430.0,20438.0,20420.0,20438.0,0,29,0.0,0
20100125  10:10:30,20437.0,20451.0,20434.0,20451.0,0,13,0.0,0
20100125  10:11:00,20448.0,20458.0,20448.0,20451.0,0,24,0.0,0
20100125  10:11:30,20453.0,20457.0,20443.0,20446.0,0,24,0.0,0
20100125  10:12:00,20443.0,20452.0,20440.0,20444.0,0,31,0.0,0
20100125  10:12:30,20442.0,20451.0,20441.0,20448.0,0,33,0.0,0
20100125  10:13:00,20449.0,20455.0,20443.0,20452.0,0,28,0.0,0
20100125  10:13:30,20450.0,20468.0,20450.0,20466.0,0,17,0.0,0
20100125  10:14:00,20468.0,20488.0,20466.0,20488.0,0,29,0.0,0
20100125  10:14:30,20490.0,20492.0,20482.0,20486.0,0,19,0.0,0
20100125  10:15:00,20488.0,20497.0,20486.0,20493.0,0,22,0.0,0
20100125  10:15:30,20495.0,20503.0,20495.0,20503.0,0,12,0.0,0
