date,open,high,low,close,volume,bar_count,wap,has_gaps
20100827  10:00:00,11382.0,11416.0,11381.0,11398.0,0,154,0.0,0
20100827  10:00:30,11399.0,11422.0,11397.0,11419.0,0,98,0.0,0
20100827  10:01:00,11418.0,11423.0,11409.0,11417.0,0,70,0.0,0
20100827  10:01:30,11419.0,11421.0,11409.0,11411.0,0,35,0.0,0
20100827  10:02:00,11414.0,11414.0,11406.0,11407.0,0,25,0.0,0
20100827  10:02:30,11409.0,11420.0,11405.0,11412.0,0,36,0.0,0
20100827  10:03:00,11411.0,11419.0,11408.0,11412.0,0,28,0.0,0
20100827  10:03:30,11413.0,11413.0,11408.0,11412.0,0,15,0.0,0
20100827  10:04:00,11411.0,11415.0,11408.0,11409.0,0,28,0.0,0
20100827  10:04:30,11410.0,11411.0,11404.0,11407.0,0,27,0.0,0
20100827  10:05:00,11405.0,11408.0,11404.0,11405.0,0,26,0.0,0
20100827  10:05:30,11407.0,11411.0,11399.0,11402.0,0,42,0.0,0
20100827  10:06:00,11404.0,11404.0,11397.0,11400.0,0,44,0.0,0
20100827  10:06:30,11402.0,11405.0,11395.0,11397.0,0,40,0.0,0
20100827  10:07:00,11397.0,11397.0,11390.0,11395.0,0,34,0.0,0
20100827  10:07:30,11393.0,11408.0,11391.0,11401.0,0,58,0.0,0
20100827  10:08:00,11404.0,11405.0,11397.0,11398.0,0,33,0.0,0
20100827  10:08:30,11396.0,11400.0,11393.0,11398.0,0,33,0.0,0
20100827  10:09:00,11396.0,11397.0,11391.0,11397.0,0,27,0.0,0
20100827  10:09:30,11396.0,11402.0,11392.0,11397.0,0,42,0.0,0
20100827  10:10:00,11399.0,11400.0,11393.0,11393.0,0,30,0.0,0
20100827  10:10:30,11394.0,11401.0,11393.0,11396.0,0,26,0.0,0
20100827  10:11:00,11395.0,11400.0,11393.0,11395.0,0,35,0.0,0
20100827  10:11:30,11396.0,11398.0,11387.0,11387.0,0,35,0.0,0
20100827  10:12:00,11389.0,11392.0,11385.0,11391.0,0,31,0.0,0
20100827  10:12:30,11388.0,11390.0,11380.0,11382.0,0,23,0.0,0
20100827  10:13:00,11383.0,11389.0,11382.0,11382.0,0,27,0.0,0
20100827  10:13:30,11384.0,11384.0,11377.0,11377.0,0,16,0.0,0
20100827  10:14:00,11375.0,11381.0,11375.0,11379.0,0,14,0.0,0
20100827  10:14:30,11376.0,11379.0,11374.0,11379.0,0,24,0.0,0
20100827  10:15:00,11378.0,11381.0,11373.0,11375.0,0,17,0.0,0
20100827  10:15:30,11376.0,11381.0,11373.0,11379.0,0,30,0.0,0
